"CLOUD_COVER";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"index";"SATELLITE";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"WRS_PATH";"WRS_ROW";"year";"Date";"index_type"
12;4,177;2,855;3,049;0,805468467443549;"LANDSAT_7";100,079376;31,694149;223;66;2015;2015-02-15;"NDVI TEI 567027-C"
1;5,009;3,663;3,417;0,707682063531395;"LANDSAT_7";40,675426;42,701538;223;66;2015;2015-06-23;"NDVI TEI 567027-C"
1;4,737;3,238;3,457;0,658878026394886;"LANDSAT_7";45,822014;40,82526;223;66;2015;2015-07-25;"NDVI TEI 567027-C"
4;4,77;3,216;3,523;0,342921280237779;"LANDSAT_7";76,209557;26,772572;223;66;2015;2015-09-27;"NDVI TEI 567027-C"
0;8,358;4,262;7,19;0,790190060365784;"LANDSAT_7";98,321884;30,828232;223;66;2016;2016-02-18;"NDVI TEI 567027-C"
5;6,581;3,304;5,691;0,785920514166754;"LANDSAT_7";52,337227;34,307384;223;66;2016;2016-04-22;"NDVI TEI 567027-C"
0;4,21;2,985;2,969;0,782276057164406;"LANDSAT_7";45,404427;37,017891;223;66;2016;2016-05-08;"NDVI TEI 567027-C"
0;5,491;3,183;4,474;0,748897260012666;"LANDSAT_7";41,314541;39,590179;223;66;2016;2016-05-24;"NDVI TEI 567027-C"
0;4,573;3,095;3,367;0,743196386187647;"LANDSAT_7";40,16375;42,278187;223;66;2016;2016-06-25;"NDVI TEI 567027-C"
0;5,141;3,353;3,897;0,721253668471761;"LANDSAT_7";42,287746;41,767273;223;66;2016;2016-07-11;"NDVI TEI 567027-C"
0;5,529;4,018;3,798;0,672745155433387;"LANDSAT_7";45,833302;39,900608;223;66;2016;2016-07-27;"NDVI TEI 567027-C"
